songs	artists	album	release date	image
Freak	Lana Del Rey	Honeymoon	2015-09-18	['https://i.scdn.co/image/ab67616d0000b273a3b3f48ca81acacb3ad4ec8a', 'https://i.scdn.co/image/ab67616d00001e02a3b3f48ca81acacb3ad4ec8a', 'https://i.scdn.co/image/ab67616d00004851a3b3f48ca81acacb3ad4ec8a']
Peppers (feat. Tommy Genesis)	Lana Del Rey,Tommy Genesis	Did you know that there's a tunnel under Ocean Blvd	2023-03-24	['https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d00001e0259ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d0000485159ae8cf65d498afdd5585634']
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey)	Ariana Grande,Miley Cyrus,Lana Del Rey	Charlie's Angels (Original Motion Picture Soundtrack)	2019-11-01	['https://i.scdn.co/image/ab67616d0000b273c891137d2513ecd496e9152e', 'https://i.scdn.co/image/ab67616d00001e02c891137d2513ecd496e9152e', 'https://i.scdn.co/image/ab67616d00004851c891137d2513ecd496e9152e']
In My Feelings	Lana Del Rey	Lust For Life	2017-07-21	['https://i.scdn.co/image/ab67616d0000b27395e2fd1accb339fa14878190', 'https://i.scdn.co/image/ab67616d00001e0295e2fd1accb339fa14878190', 'https://i.scdn.co/image/ab67616d0000485195e2fd1accb339fa14878190']
The Blackest Day	Lana Del Rey	Honeymoon	2015-09-18	['https://i.scdn.co/image/ab67616d0000b273a3b3f48ca81acacb3ad4ec8a', 'https://i.scdn.co/image/ab67616d00001e02a3b3f48ca81acacb3ad4ec8a', 'https://i.scdn.co/image/ab67616d00004851a3b3f48ca81acacb3ad4ec8a']
A&W	Lana Del Rey	Did you know that there's a tunnel under Ocean Blvd	2023-03-24	['https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d00001e0259ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d0000485159ae8cf65d498afdd5585634']
Tulsa Jesus Freak	Lana Del Rey	Chemtrails Over The Country Club	2021-03-19	['https://i.scdn.co/image/ab67616d0000b273ca929c6e766cb8591a286e0d', 'https://i.scdn.co/image/ab67616d00001e02ca929c6e766cb8591a286e0d', 'https://i.scdn.co/image/ab67616d00004851ca929c6e766cb8591a286e0d']
Summertime	Kontra K,Lana Del Rey	Die Hoffnung klaut mir Niemand	2023-11-09	['https://i.scdn.co/image/ab67616d0000b2736e80215d1e0d5efe3ccb3572', 'https://i.scdn.co/image/ab67616d00001e026e80215d1e0d5efe3ccb3572', 'https://i.scdn.co/image/ab67616d000048516e80215d1e0d5efe3ccb3572']
Music To Watch Boys To	Lana Del Rey	Honeymoon	2015-09-18	['https://i.scdn.co/image/ab67616d0000b273a3b3f48ca81acacb3ad4ec8a', 'https://i.scdn.co/image/ab67616d00001e02a3b3f48ca81acacb3ad4ec8a', 'https://i.scdn.co/image/ab67616d00004851a3b3f48ca81acacb3ad4ec8a']
Get Free	Lana Del Rey	Lust For Life	2017-07-21	['https://i.scdn.co/image/ab67616d0000b27395e2fd1accb339fa14878190', 'https://i.scdn.co/image/ab67616d00001e0295e2fd1accb339fa14878190', 'https://i.scdn.co/image/ab67616d0000485195e2fd1accb339fa14878190']
