songs	artists	album	release date	image
MY EYES	Travis Scott	UTOPIA	2023-07-28	['https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44', 'https://i.scdn.co/image/ab67616d00001e02881d8d8378cd01099babcd44', 'https://i.scdn.co/image/ab67616d00004851881d8d8378cd01099babcd44']
LUNCH	Billie Eilish	HIT ME HARD AND SOFT	2024-05-17	['https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62', 'https://i.scdn.co/image/ab67616d00001e0271d62ea7ea8a5be92d3c1f62', 'https://i.scdn.co/image/ab67616d0000485171d62ea7ea8a5be92d3c1f62']
BIRDS OF A FEATHER	Billie Eilish	HIT ME HARD AND SOFT	2024-05-17	['https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62', 'https://i.scdn.co/image/ab67616d00001e0271d62ea7ea8a5be92d3c1f62', 'https://i.scdn.co/image/ab67616d0000485171d62ea7ea8a5be92d3c1f62']
Count on Me	Bruno Mars	Doo-Wops & Hooligans	2010-05-11	['https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b', 'https://i.scdn.co/image/ab67616d00001e02f6b55ca93bd33211227b502b', 'https://i.scdn.co/image/ab67616d00004851f6b55ca93bd33211227b502b']
we fell in love in october	girl in red	we fell in love in october / October Passed Me By	2018-11-21	['https://i.scdn.co/image/ab67616d0000b273d6839051c4760457e1a60b2a', 'https://i.scdn.co/image/ab67616d00001e02d6839051c4760457e1a60b2a', 'https://i.scdn.co/image/ab67616d00004851d6839051c4760457e1a60b2a']
Ajab Si (From Om Shanti Om)	KK	Zindagi Do Pal Ki - K.K. All Time Hits	2022-06-01	['https://i.scdn.co/image/ab67616d0000b273456e0af8e834546541a00efa', 'https://i.scdn.co/image/ab67616d00001e02456e0af8e834546541a00efa', 'https://i.scdn.co/image/ab67616d00004851456e0af8e834546541a00efa']
4AM in Karachi	Talha Anjum,Umair	Worth The Wait	2022-11-04	['https://i.scdn.co/image/ab67616d0000b2738d981daac9603d72b8c87b86', 'https://i.scdn.co/image/ab67616d00001e028d981daac9603d72b8c87b86', 'https://i.scdn.co/image/ab67616d000048518d981daac9603d72b8c87b86']
Bored	Laufey	Bewitched: The Goddess Edition	2024-04-26	['https://i.scdn.co/image/ab67616d0000b27313832cc69a78c53b18a8bc10', 'https://i.scdn.co/image/ab67616d00001e0213832cc69a78c53b18a8bc10', 'https://i.scdn.co/image/ab67616d0000485113832cc69a78c53b18a8bc10']
PRIDE	Kendrick Lamar	DAMN.	2017-04-14	['https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699', 'https://i.scdn.co/image/ab67616d00001e028b52c6b9bc4e43d873869699', 'https://i.scdn.co/image/ab67616d000048518b52c6b9bc4e43d873869699']
Not Like Us	Kendrick Lamar	Not Like Us	2024-05-04	['https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad', 'https://i.scdn.co/image/ab67616d00001e021ea0c62b2339cbf493a999ad', 'https://i.scdn.co/image/ab67616d000048511ea0c62b2339cbf493a999ad']
Let It Happen	Tame Impala	Currents	2015-07-17	['https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79', 'https://i.scdn.co/image/ab67616d00001e029e1cfc756886ac782e363d79', 'https://i.scdn.co/image/ab67616d000048519e1cfc756886ac782e363d79']
Borderline	Tame Impala	The Slow Rush	2020-02-14	['https://i.scdn.co/image/ab67616d0000b27358267bd34420a00d5cf83a49', 'https://i.scdn.co/image/ab67616d00001e0258267bd34420a00d5cf83a49', 'https://i.scdn.co/image/ab67616d0000485158267bd34420a00d5cf83a49']
Violent Crimes	Kanye West	ye	2018-06-01	['https://i.scdn.co/image/ab67616d0000b2730cd942c1a864afa4e92d04f2', 'https://i.scdn.co/image/ab67616d00001e020cd942c1a864afa4e92d04f2', 'https://i.scdn.co/image/ab67616d000048510cd942c1a864afa4e92d04f2']
My Way - 2008 Remastered	Frank Sinatra	Nothing But The Best - 2008 Remastered	2008-05-13	['https://i.scdn.co/image/ab67616d0000b273b81d66d1416afa139d12767b', 'https://i.scdn.co/image/ab67616d00001e02b81d66d1416afa139d12767b', 'https://i.scdn.co/image/ab67616d00004851b81d66d1416afa139d12767b']
Runaway	Kanye West,Pusha T	My Beautiful Dark Twisted Fantasy	2010-11-22	['https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f', 'https://i.scdn.co/image/ab67616d00001e02d9194aa18fa4c9362b47464f', 'https://i.scdn.co/image/ab67616d00004851d9194aa18fa4c9362b47464f']
Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)	Metro Boomin,A$AP Rocky,Roisee	METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)	2023-06-02	['https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f', 'https://i.scdn.co/image/ab67616d00001e026ed9aef791159496b286179f', 'https://i.scdn.co/image/ab67616d000048516ed9aef791159496b286179f']
The Less I Know The Better	Tame Impala	Currents	2015-07-17	['https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79', 'https://i.scdn.co/image/ab67616d00001e029e1cfc756886ac782e363d79', 'https://i.scdn.co/image/ab67616d000048519e1cfc756886ac782e363d79']
Potion of Hearts	Shady Moon	Potion of Hearts	2021-06-12	['https://i.scdn.co/image/ab67616d0000b27372419c258edccb8939e8c0ff', 'https://i.scdn.co/image/ab67616d00001e0272419c258edccb8939e8c0ff', 'https://i.scdn.co/image/ab67616d0000485172419c258edccb8939e8c0ff']
Paranoia	Shady Moon	Paranoia	2022-07-28	['https://i.scdn.co/image/ab67616d0000b2738c3828c74159bfa30b71b495', 'https://i.scdn.co/image/ab67616d00001e028c3828c74159bfa30b71b495', 'https://i.scdn.co/image/ab67616d000048518c3828c74159bfa30b71b495']
Mr. Sandman	The Chordettes	Mr Sandman	2013	['https://i.scdn.co/image/ab67616d0000b273670b5c5c3f3f130e44a4ebf2', 'https://i.scdn.co/image/ab67616d00001e02670b5c5c3f3f130e44a4ebf2', 'https://i.scdn.co/image/ab67616d00004851670b5c5c3f3f130e44a4ebf2']
One More Hour	Tame Impala	The Slow Rush	2020-02-14	['https://i.scdn.co/image/ab67616d0000b27358267bd34420a00d5cf83a49', 'https://i.scdn.co/image/ab67616d00001e0258267bd34420a00d5cf83a49', 'https://i.scdn.co/image/ab67616d0000485158267bd34420a00d5cf83a49']
Baby I'm Yours	Breakbot,Irfane	Baby I'm Yours	2010-02-15	['https://i.scdn.co/image/ab67616d0000b273d55f44fb47f63f0e7048a5a1', 'https://i.scdn.co/image/ab67616d00001e02d55f44fb47f63f0e7048a5a1', 'https://i.scdn.co/image/ab67616d00004851d55f44fb47f63f0e7048a5a1']
Dance With The Devil	Immortal Technique	Revolutionary, Vol. 1	2001-09-14	['https://i.scdn.co/image/ab67616d0000b273c0eaea2fcf6cea1801c770cd', 'https://i.scdn.co/image/ab67616d00001e02c0eaea2fcf6cea1801c770cd', 'https://i.scdn.co/image/ab67616d00004851c0eaea2fcf6cea1801c770cd']
Out of My League	Fitz and The Tantrums	Out of My League	2013-02-08	['https://i.scdn.co/image/ab67616d0000b273504eb0a2e404c1e538cc6c29', 'https://i.scdn.co/image/ab67616d00001e02504eb0a2e404c1e538cc6c29', 'https://i.scdn.co/image/ab67616d00004851504eb0a2e404c1e538cc6c29']
Moonlight Shade	Shady Moon	Moonlight Shade	2022-10-20	['https://i.scdn.co/image/ab67616d0000b273089e5471b2d7dfe762b107fb', 'https://i.scdn.co/image/ab67616d00001e02089e5471b2d7dfe762b107fb', 'https://i.scdn.co/image/ab67616d00004851089e5471b2d7dfe762b107fb']
Lady - Hear Me Tonight	Modjo	Modjo (Remastered)	2001	['https://i.scdn.co/image/ab67616d0000b27354c5c304064df85d61253ac7', 'https://i.scdn.co/image/ab67616d00001e0254c5c304064df85d61253ac7', 'https://i.scdn.co/image/ab67616d0000485154c5c304064df85d61253ac7']
Moonlight Lovers	Shady Moon	Moonlight Lovers	2021-07-16	['https://i.scdn.co/image/ab67616d0000b273d37087787136bda88414e63d', 'https://i.scdn.co/image/ab67616d00001e02d37087787136bda88414e63d', 'https://i.scdn.co/image/ab67616d00004851d37087787136bda88414e63d']
Cherry Blossoms	Shady Moon	Cherry Blossoms	2021-08-26	['https://i.scdn.co/image/ab67616d0000b2733f1fd0b6b173dbb2071cce44', 'https://i.scdn.co/image/ab67616d00001e023f1fd0b6b173dbb2071cce44', 'https://i.scdn.co/image/ab67616d000048513f1fd0b6b173dbb2071cce44']
Love Sick	Shady Moon	Love Sick	2021-05-14	['https://i.scdn.co/image/ab67616d0000b2733a375937c0812c10781037a0', 'https://i.scdn.co/image/ab67616d00001e023a375937c0812c10781037a0', 'https://i.scdn.co/image/ab67616d000048513a375937c0812c10781037a0']
Tum Tak	A.R. Rahman,Javed Ali,KIRTI SAGATHIA,Pooja AV	Raanjhanaa (Original Motion Picture Soundtrack)	2013-05-31	['https://i.scdn.co/image/ab67616d0000b273a00249b8bf77312ec156dd4b', 'https://i.scdn.co/image/ab67616d00001e02a00249b8bf77312ec156dd4b', 'https://i.scdn.co/image/ab67616d00004851a00249b8bf77312ec156dd4b']
Nothing's New	Rio Romeo	Good God!	2022-09-23	['https://i.scdn.co/image/ab67616d0000b273502345ddf02b0fe85ad15830', 'https://i.scdn.co/image/ab67616d00001e02502345ddf02b0fe85ad15830', 'https://i.scdn.co/image/ab67616d00004851502345ddf02b0fe85ad15830']
Please, Please, Please, Let Me Get What I Want - 2011 Remaster	The Smiths	Hatful of Hollow	1984	['https://i.scdn.co/image/ab67616d0000b273786b44c75ebf915866523f5b', 'https://i.scdn.co/image/ab67616d00001e02786b44c75ebf915866523f5b', 'https://i.scdn.co/image/ab67616d00004851786b44c75ebf915866523f5b']
Heaven Knows I'm Miserable Now - 2011 Remaster	The Smiths	Hatful of Hollow	1984	['https://i.scdn.co/image/ab67616d0000b273786b44c75ebf915866523f5b', 'https://i.scdn.co/image/ab67616d00001e02786b44c75ebf915866523f5b', 'https://i.scdn.co/image/ab67616d00004851786b44c75ebf915866523f5b']
Something About You	Eyedress,Dent May	Something About You	2021-06-03	['https://i.scdn.co/image/ab67616d0000b2733684eb27d0e9c5ab50ca548b', 'https://i.scdn.co/image/ab67616d00001e023684eb27d0e9c5ab50ca548b', 'https://i.scdn.co/image/ab67616d000048513684eb27d0e9c5ab50ca548b']
Electric Love	BRNS	Dopamine	2015-10-16	['https://i.scdn.co/image/ab67616d0000b273cc2cf912462d8ae4ef856434', 'https://i.scdn.co/image/ab67616d00001e02cc2cf912462d8ae4ef856434', 'https://i.scdn.co/image/ab67616d00004851cc2cf912462d8ae4ef856434']
Put Your Records On	Corinne Bailey Rae	Corinne Bailey Rae	2006-01-01	['https://i.scdn.co/image/ab67616d0000b2731ec9b096319afbcc2dca6879', 'https://i.scdn.co/image/ab67616d00001e021ec9b096319afbcc2dca6879', 'https://i.scdn.co/image/ab67616d000048511ec9b096319afbcc2dca6879']
Misty	Lesley Gore	I'll Cry If I Want To	1963-06-01	['https://i.scdn.co/image/ab67616d0000b273b71c2bb954c78c4a605a095a', 'https://i.scdn.co/image/ab67616d00001e02b71c2bb954c78c4a605a095a', 'https://i.scdn.co/image/ab67616d00004851b71c2bb954c78c4a605a095a']
Love Grows (Where My Rosemary Goes)	Edison Lighthouse	Love Grows (Where My Rosemary Goes) & Other Gems	1970-01-01	['https://i.scdn.co/image/ab67616d0000b2739a0011cc9d31cf969b656905', 'https://i.scdn.co/image/ab67616d00001e029a0011cc9d31cf969b656905', 'https://i.scdn.co/image/ab67616d000048519a0011cc9d31cf969b656905']
Evergreen	Richy Mitch & The Coal Miners	RMCM	2017-05-17	['https://i.scdn.co/image/ab67616d0000b2731cc17bae5ee17cce117e198a', 'https://i.scdn.co/image/ab67616d00001e021cc17bae5ee17cce117e198a', 'https://i.scdn.co/image/ab67616d000048511cc17bae5ee17cce117e198a']
Take on Me	a-ha	Hunting High and Low	1985-06-01	['https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53', 'https://i.scdn.co/image/ab67616d00001e02e8dd4db47e7177c63b0b7d53', 'https://i.scdn.co/image/ab67616d00004851e8dd4db47e7177c63b0b7d53']
Bubble Gum	Clairo	Bubble Gum	2019-02-22	['https://i.scdn.co/image/ab67616d0000b2735d93417bde90e0bd951dab08', 'https://i.scdn.co/image/ab67616d00001e025d93417bde90e0bd951dab08', 'https://i.scdn.co/image/ab67616d000048515d93417bde90e0bd951dab08']
Tangerine	Noah Richardson	Tangerine	2023-05-26	['https://i.scdn.co/image/ab67616d0000b273e26c5814a51347db94b714be', 'https://i.scdn.co/image/ab67616d00001e02e26c5814a51347db94b714be', 'https://i.scdn.co/image/ab67616d00004851e26c5814a51347db94b714be']
Abhi Na Jao Chhod Kar	Asha Bhosle,Mohammed Rafi	Hum Dono	1961-01-01	['https://i.scdn.co/image/ab67616d0000b273fbe87438ee8a4f2a220d1960', 'https://i.scdn.co/image/ab67616d00001e02fbe87438ee8a4f2a220d1960', 'https://i.scdn.co/image/ab67616d00004851fbe87438ee8a4f2a220d1960']
Mujhe Tum Nazar Se Gira To Rahe Ho	Mehdi Hassan	The Definitive Collection, Vol. 1	2022-11-25	['https://i.scdn.co/image/ab67616d0000b273de7d2180126a4b16609a9f86', 'https://i.scdn.co/image/ab67616d00001e02de7d2180126a4b16609a9f86', 'https://i.scdn.co/image/ab67616d00004851de7d2180126a4b16609a9f86']
To Let A Good Thing Die	Bruno Major	To Let A Good Thing Die	2020-06-05	['https://i.scdn.co/image/ab67616d0000b273e321a69d7454d9365c667187', 'https://i.scdn.co/image/ab67616d00001e02e321a69d7454d9365c667187', 'https://i.scdn.co/image/ab67616d00004851e321a69d7454d9365c667187']
It's Been a Long, Long Time (with Harry James & His Orchestra)	Kitty Kallen,Harry James	The Kitty Kallen Story	2022-12-02	['https://i.scdn.co/image/ab67616d0000b2731254fac64ca2dc5b807e5ade', 'https://i.scdn.co/image/ab67616d00001e021254fac64ca2dc5b807e5ade', 'https://i.scdn.co/image/ab67616d000048511254fac64ca2dc5b807e5ade']
Fresh Eyes	Andy Grammer	The Good Parts	2017-12-01	['https://i.scdn.co/image/ab67616d0000b273d3ef562e372ed65d6f37e991', 'https://i.scdn.co/image/ab67616d00001e02d3ef562e372ed65d6f37e991', 'https://i.scdn.co/image/ab67616d00004851d3ef562e372ed65d6f37e991']
Photograph	Ed Sheeran	x (Deluxe Edition)	2014-06-21	['https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd', 'https://i.scdn.co/image/ab67616d00001e0213b3e37318a0c247b550bccd', 'https://i.scdn.co/image/ab67616d0000485113b3e37318a0c247b550bccd']
Perfect	Ed Sheeran	÷ (Deluxe)	2017-03-03	['https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96', 'https://i.scdn.co/image/ab67616d00001e02ba5db46f4b838ef6027e6f96', 'https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96']
Tune Jo Na Kaha	Pritam,Mohit Chauhan,Sandeep Shrivastava,Pankaj Awasthi	New York	2009-06-10	['https://i.scdn.co/image/ab67616d0000b273d567bc615d8d891d112c8a35', 'https://i.scdn.co/image/ab67616d00001e02d567bc615d8d891d112c8a35', 'https://i.scdn.co/image/ab67616d00004851d567bc615d8d891d112c8a35']
Main Koi Aisa Geet Gaoon	Abhijeet,Alka Yagnik	Yes Boss (Original Motion Picture Soundtrack)	1999-06-18	['https://i.scdn.co/image/ab67616d0000b2730f0e4b68ed5159c70422c18f', 'https://i.scdn.co/image/ab67616d00001e020f0e4b68ed5159c70422c18f', 'https://i.scdn.co/image/ab67616d000048510f0e4b68ed5159c70422c18f']
Winter Wonderland - Spotify Singles Holiday	Laufey	Spotify Singles Holiday	2023-11-14	['https://i.scdn.co/image/ab67616d0000b273d16831527ee5c1edd9327b78', 'https://i.scdn.co/image/ab67616d00001e02d16831527ee5c1edd9327b78', 'https://i.scdn.co/image/ab67616d00004851d16831527ee5c1edd9327b78']
A Night To Remember	beabadoobee,Laufey	A Night To Remember	2023-10-20	['https://i.scdn.co/image/ab67616d0000b27303ea1900840b8804f779f7b3', 'https://i.scdn.co/image/ab67616d00001e0203ea1900840b8804f779f7b3', 'https://i.scdn.co/image/ab67616d0000485103ea1900840b8804f779f7b3']
Last Friday Night (T.G.I.F.)	Katy Perry	Teenage Dream	2010-08-24	['https://i.scdn.co/image/ab67616d0000b273f619042d5f6b2149a4f5e0ca', 'https://i.scdn.co/image/ab67616d00001e02f619042d5f6b2149a4f5e0ca', 'https://i.scdn.co/image/ab67616d00004851f619042d5f6b2149a4f5e0ca']
Love Story (Taylors Version)	Taylor Swift	Fearless (Taylor's Version)	2021-04-09	['https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de', 'https://i.scdn.co/image/ab67616d00001e02a48964b5d9a3d6968ae3e0de', 'https://i.scdn.co/image/ab67616d00004851a48964b5d9a3d6968ae3e0de']
You Belong With Me (Taylors Version)	Taylor Swift	Fearless (Taylor's Version)	2021-04-09	['https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de', 'https://i.scdn.co/image/ab67616d00001e02a48964b5d9a3d6968ae3e0de', 'https://i.scdn.co/image/ab67616d00004851a48964b5d9a3d6968ae3e0de']
Paper Rings	Taylor Swift	Lover	2019-08-23	['https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647', 'https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647', 'https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647']
Payphone	Maroon 5,Wiz Khalifa	Overexposed Track By Track	2012-01-01	['https://i.scdn.co/image/ab67616d0000b273fc8633e22a7dba6aab817bff', 'https://i.scdn.co/image/ab67616d00001e02fc8633e22a7dba6aab817bff', 'https://i.scdn.co/image/ab67616d00004851fc8633e22a7dba6aab817bff']
Hothon Se Chhu Lo Tum - From Prem Geet	Jagjit Singh	Dard-E-Jigar	2003-01-01	['https://i.scdn.co/image/ab67616d0000b273b5eba194cd2f743be9a0f87b', 'https://i.scdn.co/image/ab67616d00001e02b5eba194cd2f743be9a0f87b', 'https://i.scdn.co/image/ab67616d00004851b5eba194cd2f743be9a0f87b']
Sensitive	Alex Porat	Kiss Face	2022-08-05	['https://i.scdn.co/image/ab67616d0000b2735bfd20026b06c4af4464c6c6', 'https://i.scdn.co/image/ab67616d00001e025bfd20026b06c4af4464c6c6', 'https://i.scdn.co/image/ab67616d000048515bfd20026b06c4af4464c6c6']
Alag Aasmaan	Anuv Jain	Alag Aasmaan	2020-07-31	['https://i.scdn.co/image/ab67616d0000b2735d7a296e99b415bc012c03e3', 'https://i.scdn.co/image/ab67616d00001e025d7a296e99b415bc012c03e3', 'https://i.scdn.co/image/ab67616d000048515d7a296e99b415bc012c03e3']
deja vu	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
Lover	Taylor Swift	Lover	2019-08-23	['https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647', 'https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647', 'https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647']
Falling Behind	Laufey	Everything I Know About Love	2022-08-26	['https://i.scdn.co/image/ab67616d0000b27348341e864d4b4881f56f01b4', 'https://i.scdn.co/image/ab67616d00001e0248341e864d4b4881f56f01b4', 'https://i.scdn.co/image/ab67616d0000485148341e864d4b4881f56f01b4']
My Love Mine All Mine	Mitski	The Land Is Inhospitable and So Are We	2023-09-15	['https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10', 'https://i.scdn.co/image/ab67616d00001e0234f21d3047d85440dfa37f10', 'https://i.scdn.co/image/ab67616d0000485134f21d3047d85440dfa37f10']
Maniac	Conan Gray	Kid Krow	2020-03-20	['https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43', 'https://i.scdn.co/image/ab67616d00001e0288e3cda6d29b2552d4d6bc43', 'https://i.scdn.co/image/ab67616d0000485188e3cda6d29b2552d4d6bc43']
Good Looking	Suki Waterhouse	Good Looking	2022-08-18	['https://i.scdn.co/image/ab67616d0000b27343bff43a592efe047d2ab9ff', 'https://i.scdn.co/image/ab67616d00001e0243bff43a592efe047d2ab9ff', 'https://i.scdn.co/image/ab67616d0000485143bff43a592efe047d2ab9ff']
Skyfall	Adele	Skyfall	2012-10-04	['https://i.scdn.co/image/ab67616d0000b2732737be35cc5245eef495be90', 'https://i.scdn.co/image/ab67616d00001e022737be35cc5245eef495be90', 'https://i.scdn.co/image/ab67616d000048512737be35cc5245eef495be90']
Young And Beautiful	Lana Del Rey	Young And Beautiful	2013-01-01	['https://i.scdn.co/image/ab67616d0000b273d7fb3e4c63020039d1cff6b2', 'https://i.scdn.co/image/ab67616d00001e02d7fb3e4c63020039d1cff6b2', 'https://i.scdn.co/image/ab67616d00004851d7fb3e4c63020039d1cff6b2']
Hidden In the Sand	Tally Hall	Marvin's Marvelous Mechanical Museum	2005-10-24	['https://i.scdn.co/image/ab67616d0000b273b9ccb466665c2ac10dc0d628', 'https://i.scdn.co/image/ab67616d00001e02b9ccb466665c2ac10dc0d628', 'https://i.scdn.co/image/ab67616d00004851b9ccb466665c2ac10dc0d628']
Lovers Rock	TV Girl	French Exit	2014-06-05	['https://i.scdn.co/image/ab67616d0000b273e1bc1af856b42dd7fdba9f84', 'https://i.scdn.co/image/ab67616d00001e02e1bc1af856b42dd7fdba9f84', 'https://i.scdn.co/image/ab67616d00004851e1bc1af856b42dd7fdba9f84']
double take	Dhruv	rapunzel	2022-01-21	['https://i.scdn.co/image/ab67616d0000b2736f04e53cb5309f8e88286842', 'https://i.scdn.co/image/ab67616d00001e026f04e53cb5309f8e88286842', 'https://i.scdn.co/image/ab67616d000048516f04e53cb5309f8e88286842']
Jealous	Eyedress	Jealous	2019-12-06	['https://i.scdn.co/image/ab67616d0000b2734de4da55422167fcc47fba65', 'https://i.scdn.co/image/ab67616d00001e024de4da55422167fcc47fba65', 'https://i.scdn.co/image/ab67616d000048514de4da55422167fcc47fba65']
Cloud 9	Beach Bunny	Honeymoon	2020-02-14	['https://i.scdn.co/image/ab67616d0000b273d6fd719531afda5f9cc0e248', 'https://i.scdn.co/image/ab67616d00001e02d6fd719531afda5f9cc0e248', 'https://i.scdn.co/image/ab67616d00004851d6fd719531afda5f9cc0e248']
From The Start	Laufey	From The Start	2023-05-11	['https://i.scdn.co/image/ab67616d0000b27310ee65ae464018c19c8e8ab4', 'https://i.scdn.co/image/ab67616d00001e0210ee65ae464018c19c8e8ab4', 'https://i.scdn.co/image/ab67616d0000485110ee65ae464018c19c8e8ab4']
I Wish You Love	Laufey	Typical of Me EP	2021-04-30	['https://i.scdn.co/image/ab67616d0000b273afe473a4a47a4e69ab174069', 'https://i.scdn.co/image/ab67616d00001e02afe473a4a47a4e69ab174069', 'https://i.scdn.co/image/ab67616d00004851afe473a4a47a4e69ab174069']
Life is a Highway	Rascal Flatts	Cars (Original Motion Picture Soundtrack)	2006-01-01	['https://i.scdn.co/image/ab67616d0000b273a73bb6afa8cb999aafb3c150', 'https://i.scdn.co/image/ab67616d00001e02a73bb6afa8cb999aafb3c150', 'https://i.scdn.co/image/ab67616d00004851a73bb6afa8cb999aafb3c150']
You Send Me	Haley Reinhart	Bulletproof	2019-06-14	['https://i.scdn.co/image/ab67616d0000b273aff9972d1b5a72ab73977e2e', 'https://i.scdn.co/image/ab67616d00001e02aff9972d1b5a72ab73977e2e', 'https://i.scdn.co/image/ab67616d00004851aff9972d1b5a72ab73977e2e']
Heather	Conan Gray	Kid Krow	2020-03-20	['https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43', 'https://i.scdn.co/image/ab67616d00001e0288e3cda6d29b2552d4d6bc43', 'https://i.scdn.co/image/ab67616d0000485188e3cda6d29b2552d4d6bc43']
Radio	Lana Del Rey	Born To Die - The Paradise Edition	2012-01-01	['https://i.scdn.co/image/ab67616d0000b273ebc8cfac8b586bc475b04918', 'https://i.scdn.co/image/ab67616d00001e02ebc8cfac8b586bc475b04918', 'https://i.scdn.co/image/ab67616d00004851ebc8cfac8b586bc475b04918']
brutal	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
Gumaan	Young Stunners,Talha Anjum,Talhah Yunus	Gumaan	2020-09-18	['https://i.scdn.co/image/ab67616d0000b273977c782bafbd277f163140d2', 'https://i.scdn.co/image/ab67616d00001e02977c782bafbd277f163140d2', 'https://i.scdn.co/image/ab67616d00004851977c782bafbd277f163140d2']
Kahaan Ho Tum	Prateek Kuhad	Mismatched: Season 1 (Music from the Netflix Original Series)	2020-11-11	['https://i.scdn.co/image/ab67616d0000b273a91bbfed11a109d577f06cde', 'https://i.scdn.co/image/ab67616d00001e02a91bbfed11a109d577f06cde', 'https://i.scdn.co/image/ab67616d00004851a91bbfed11a109d577f06cde']
Do I Wanna Know	Arctic Monkeys	AM	2013-09-09	['https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163', 'https://i.scdn.co/image/ab67616d00001e024ae1c4c5c45aabe565499163', 'https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163']
Mary On A Cross	Ghost	Seven Inches Of Satanic Panic	2019-09-13	['https://i.scdn.co/image/ab67616d0000b273bef9b0a348ea8dd18a581025', 'https://i.scdn.co/image/ab67616d00001e02bef9b0a348ea8dd18a581025', 'https://i.scdn.co/image/ab67616d00004851bef9b0a348ea8dd18a581025']
Desperation	Talha Anjum,Umair	Open Letter	2023-02-18	['https://i.scdn.co/image/ab67616d0000b2733c5d63cc9c4a2964befb7731', 'https://i.scdn.co/image/ab67616d00001e023c5d63cc9c4a2964befb7731', 'https://i.scdn.co/image/ab67616d000048513c5d63cc9c4a2964befb7731']
Melancholy	Talha Anjum,Umair	Open Letter	2023-02-18	['https://i.scdn.co/image/ab67616d0000b2733c5d63cc9c4a2964befb7731', 'https://i.scdn.co/image/ab67616d00001e023c5d63cc9c4a2964befb7731', 'https://i.scdn.co/image/ab67616d000048513c5d63cc9c4a2964befb7731']
Nadaan Parinde	A.R. Rahman,Mohit Chauhan	Rockstar	2011-10-01	['https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b', 'https://i.scdn.co/image/ab67616d00001e0254e544672baa16145d67612b', 'https://i.scdn.co/image/ab67616d0000485154e544672baa16145d67612b']
Jo Bhi Main	Mohit Chauhan	Rockstar	2011-10-01	['https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b', 'https://i.scdn.co/image/ab67616d00001e0254e544672baa16145d67612b', 'https://i.scdn.co/image/ab67616d0000485154e544672baa16145d67612b']
Tum Ho	Mohit Chauhan,Suzanne D'Mello	Rockstar	2011-10-01	['https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b', 'https://i.scdn.co/image/ab67616d00001e0254e544672baa16145d67612b', 'https://i.scdn.co/image/ab67616d0000485154e544672baa16145d67612b']
